Año Reporte;Nivel Formacion;Codigo Programa;Programa de Formación;Codigo Ocupación;Nombre Ocupación;Red Tecnológica;Egresados;Tasa Vinculación Laboral;Tasa Contrato de Aprendizaje;Tasa Demanda Social;Sector Estrategico;Tasa de Pertinencia;Nivel de Pertinencia
2011;Técnico;228110;Administración documental;2281;Técnicos en Tecnologías de la Información;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;35;0,120;0,514;0,158;1;0,470;Baja
2011;Tecnólogo;228106;Análisis y desarrollo de sistemas de información;2281;Técnicos en Tecnologías de la Información;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;67;0,474;0,418;0,278;1;0,601;Media
2011;Tecnólogo;223201;Automatización;2232;Técnicos en Mecánica y Construcción Mecánica;Tecnologias_de_la_informacion_y_las_comunicaciones;1;1,000;0,000;0,437;0;0,444;Baja
2011;Técnico;835106;Carpintería;8351;Carpinteros;Diseno_de_producto;36;0,056;0,000;0,169;1;0,189;Baja
2011;Tecnólogo;922511;Confección industrial;9225;Supervisores de Fabricación de Productos de Tela, Cuero y Piel;Diseno_de_modas_y_confecciones;4;0,500;0,750;0,000;1;0,500;Baja
2011;Técnico;224131;Construcción y montaje de instalaciones eléctricas;2241;Técnicos en Electricidad;Tecnologias_de_la_informacion_y_las_comunicaciones;19;0,263;0,053;0,190;0;0,239;Baja
2011;Técnico;861102;Construcciones livianas en seco;8611;Ayudantes y Obreros de Construcción;Tecnologias_de_la_informacion_y_las_comunicaciones;25;0,375;0,000;0,321;1;0,482;Baja
2011;Técnico;935502;Control de calidad en confección;9355;Inspectores de Control de Calidad, Fabricación de Productos de Tela, Piel y Cuero;Diseno_de_modas_y_confecciones;28;0,185;0,000;0,000;1;0,224;Baja
2011;Tecnólogo;223217;Diseño de maquinas y equipos automatizados;2232;Técnicos en Mecánica y Construcción Mecánica;Tecnologias_de_la_informacion_y_las_comunicaciones;12;0,800;0,750;0,453;1;0,665;Media
2011;Técnico;921220;Gestión en sistemas de manejo ambiental;9212;Supervisores de Procesamiento de Químico, Petróleo, Gas y Tratamiento de Agua y Generación de Energía;Tecnologias__de_produccion_limpia;24;0,174;0,208;0,316;1;0,293;Baja
2011;Tecnólogo;821205;Implementación de servicios de telecomunicaciones por redes cableadas;8212;Contratistas y Supervisores de Electricidad y Telecomunicaciones;Tecnologías de la información y las comunicaciones;4;0,750;0,500;0,000;0;0,400;Baja
2011;Operario;832325;Instalación de redes eléctricas internas;8323;Instaladores de Redes de Energía Eléctrica;Tecnologias__de_produccion_industrial;25;0,292;0,000;0,227;1;0,341;Baja
2011;Técnico;832201;Instalaciones eléctricas en baja tensión;8322;Electricistas Residenciales;Tecnologías  de producción industrial;1;0,000;1,000;0,000;0;0,216;Baja
2011;Operario;935154;Manejo de maquinas de confección industrial para ropa exterior;9351;Operadores de Máquinas para Coser y Bordar;Diseno_de_modas_y_confecciones;18;0,056;0,167;0,547;1;0,355;Baja
2011;Técnico;838301;Mantenimiento de motocicletas;8383;Mecánicos de Motos;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;34;0,438;0,029;0,114;0;0,192;Baja
2011;Técnico;838104;Mantenimiento de motores diesel;8381;Mecánicos de Vehículos Automotores;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;74;0,014;0,000;0,130;0;0,093;Baja
2011;Técnico;838105;Mantenimiento de motores gasolina y gas;8381;Mecánicos de Vehículos Automotores;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;38;0,378;0,000;0,200;0;0,246;Baja
2011;Técnico;838105;Mantenimiento de motores gasolina y gas;8381;Mecánicos de Vehículos Automotores;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;48;0,116;0,250;0,200;0;0,191;Baja
2011;Técnico;837522;Mantenimiento de sistemas de refrigeración y climatización;8375;Técnicos de Aire Acondicionado y Refrigeración;Tecnologias_de_la_informacion_y_las_comunicaciones;4;0,250;0,250;0,289;0;0,179;Baja
2011;Tecnólogo;224130;Mantenimiento eléctrico industrial;2241;Técnicos en Electricidad;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;9;0,875;0,889;0,424;0;0,674;Media
2011;Técnico;838201;Mantenimiento eléctrico y electrónico en automotores;8382;Electricistas de Vehículos Automotores;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;25;0,318;0,080;0,582;0;0,201;Baja
2011;Tecnólogo;223200;Mantenimiento electromecánico industrial;2232;Técnicos en Mecánica y Construcción Mecánica;Tecnologías de mantenimiento predictivo, preventivo y  correctivo;15;0,667;0,667;0,000;0;0,400;Baja
2011;Tecnólogo;223219;Mantenimiento mecatrónico de automotores;2232;Técnicos en Mecánica y Construcción Mecánica;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;16;0,643;0,750;0,460;0;0,453;Baja
2011;Técnico;837126;Mecánico de maquinaria industrial;8371;Mecánicos Industriales;Tecnologias_de_la_informacion_y_las_comunicaciones;50;0,085;0,100;0,313;0;0,148;Baja
2011;Técnico;831104;Mecanizado convencional de productos metalmecánicos;8311;Ajustadores y operadores de Máquinas Herramientas;Tecnologias__de_produccion_industrial;5;0,600;0,000;0,167;0;0,257;Baja
2011;Técnico;228102;Sistemas;2281;Técnicos en Tecnologías de la Información;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;13;0,000;0,000;0,129;1;0,313;Baja
2011;Técnico;228102;Sistemas;2281;Técnicos en Tecnologías de la Información;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;73;0,431;0,479;0,198;1;0,588;Baja
2011;Técnico;941501;Soldadura de mantenimiento;9415;Operadores de Máquinas de Soldadura;Tecnologias__de_produccion_industrial;4;0,500;0,250;0,352;0;0,285;Baja
2011;Tecnólogo;223308;Textil;2233;Técnicos en Fabricación Industrial;Tecnologías de mantenimiento predictivo, preventivo y  correctivo;49;0,796;0,000;0,000;0;0,318;Baja
2011;Técnico;821405;Trazado, corte, conformado y armado de productos metálicos;8214;Contratistas y Supervisores de Moldeo de Forja y Montaje de Estructuras Metálicas;Diseno_de_modas_y_confecciones;16;0,533;0,063;0,213;0;0,247;Baja
2012;Técnico;228110;Administración documental;2281;Técnicos en Tecnologías de la Información;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;13;0,333;0,769;0,000;1;0,531;Baja
2012;Tecnólogo;228101;Administración documental;2281;Técnicos en Tecnologías de la Información;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;16;0,467;0,688;0,180;1;0,586;Baja
2012;Tecnólogo;228106;Análisis y desarrollo de sistemas de información;2281;Técnicos en Tecnologías de la Información;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;132;0,473;0,455;0,250;1;0,549;Baja
2012;Técnico;836101;Armado de estructuras en guadua;8361;Oficiales de Construcción;Materiales_para_la_construccion;12;0,250;0,000;0,145;1;0,378;Baja
2012;Tecnólogo;223201;Automatización;2232;Técnicos en Mecánica y Construcción Mecánica;Tecnologias_de_la_informacion_y_las_comunicaciones;41;0,846;0,463;0,276;0;0,459;Baja
